priority,source_layer,id,year,subject,field,original,detected,occurrences,proposed,category,type,confidence,note,approval_status,reviewer_note
1,LAYER_1,2020,2010,Pharmacology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,214,2012,Pathophysiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,2182,2014,Biology,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,2188,2013,Biology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,224,2011,Pathophysiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,2256,2018,Biology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,2271,2019,Biology,answer_3,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,2272,2019,Biology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,2298,2023,Histology,answer_4,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,2321,2007,Histology,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,2326,2007,Histology,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,2553,2015,Biochemistry,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,2590,2014,Biochemistry,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,26,2017,Pathophysiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,263,2009,Pathophysiology,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,2737,2007,Biochemistry,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,305,2008,Pathophysiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,316,2007,Pathophysiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,320,2007,Pathophysiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,355,2010,Pathophysiology,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,397,2019,Pathophysiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,4,2023,Pathophysiology,question,A patient with chronic renal failure presents with reduced inulin clearance of ml/min. The following renal function is disturbed:,of ml/min,1,,MEDICAL REVIEW,POSSIBLE_MISSING_CLINICAL_VALUE,HIGH,A clinical unit appears without an associated numeric value. Source verification required.,PENDING,
1,LAYER_1,412,2019,Pathophysiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,413,2019,Pathophysiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,423,2020,Pathophysiology,answer_4,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,484,2023,Pathomorphology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,485,2023,Pathomorphology,answer_2,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,496,2023,Pathomorphology,answer_3,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,530,2016,Pathomorphology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,549,2016,Pathomorphology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,570,2015,Pathomorphology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,579,2014,Pathomorphology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,614,2013,Pathomorphology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,65,2017,Pathophysiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,662,2011,Pathomorphology,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,670,2011,Pathomorphology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,683,2009,Pathomorphology,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,704,2008,Pathomorphology,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,841,2021,Pathomorphology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,866,2017,Normal Phisiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,899,2016,Normal Phisiology,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,915,2015,Normal Phisiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,922,2015,Normal Phisiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,931,2014,Normal Phisiology,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,946,2014,Normal Phisiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,951,2014,Normal Phisiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,955,2013,Normal Phisiology,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,990,2012,Normal Phisiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
2,LAYER_1,1,2023,Pathophysiology,question,"A patient has been diagnosed with severe B 12-deficient anemia with hemopoiesis disturbance. Anamnesis states total gastrectomy. What cells allow to confirm this diagnosis, if they are absent in the peripheral blood?",,1,,SAFE,B12_SPACING,HIGH,Vitamin B12 appears split by OCR spacing.,PENDING,
2,LAYER_2,100,2016,Pathophysiology,question,,swelli-ng,1,swelling,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,100,2016,Pathophysiology,question,,respi-ration,1,respiration,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,102,2015,Pathophysiology,question,,hyperbili-rubinemia,1,hyperbilirubinemia,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,104,2015,Pathophysiology,question,,admini-stered,1,administered,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_1,1061,2009,Normal Phisiology,answer_1,"B , α (I I I ) Rh −",,1,,SAFE,SPACE_BEFORE_PUNCTUATION,HIGH,Whitespace found immediately before punctuation.,PENDING,
2,LAYER_1,1061,2009,Normal Phisiology,answer_2,"A , β (I I ) Rh −",,1,,SAFE,SPACE_BEFORE_PUNCTUATION,HIGH,Whitespace found immediately before punctuation.,PENDING,
2,LAYER_1,1061,2009,Normal Phisiology,answer_3,"0, α, β , (I ) Rh +",,1,,SAFE,SPACE_BEFORE_PUNCTUATION,HIGH,Whitespace found immediately before punctuation.,PENDING,
2,LAYER_2,107,2015,Pathophysiology,question,,di-srupted,1,disrupted,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_1,1074,2008,Normal Phisiology,question,"Surgical removal of a part of stomach resulted in disturbed absorption of vitamin B 12, it is excreted with feces. The patient was diagnosed with anemia. What factor is necessary for absorption of this vitamin?",,1,,SAFE,B12_SPACING,HIGH,Vitamin B12 appears split by OCR spacing.,PENDING,
2,LAYER_1,1075,2008,Normal Phisiology,question,Rest potential of a cell equals − 80 mV . At what stage of action potential did the membrane potential equal +30 mV ?,,1,,SAFE,SPACE_BEFORE_PUNCTUATION,HIGH,Whitespace found immediately before punctuation.,PENDING,
2,LAYER_1,1080,2008,Normal Phisiology,question,"Workers of a hothouse farm work under conditions of unfavourable microclimate: air temperature is +37o C , relative humidity is 90%, air speed is 0,2 m/s. The way of heat emission under these conditions will be:",,1,,SAFE,SPACE_BEFORE_PUNCTUATION,HIGH,Whitespace found immediately before punctuation.,PENDING,
2,LAYER_1,1083,2007,Normal Phisiology,question,"A lightly dressed man is standing in a room, air temperature is +140C , windows and doors are closed. In what way does he emit heat the most actively?",,1,,SAFE,SPACE_BEFORE_PUNCTUATION,HIGH,Whitespace found immediately before punctuation.,PENDING,
2,LAYER_1,1084,2007,Normal Phisiology,answer_4,B 12,,1,,SAFE,B12_SPACING,HIGH,Vitamin B12 appears split by OCR spacing.,PENDING,
2,LAYER_2,110,2015,Pathophysiology,question,,objecti-ve,1,objective,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,110,2015,Pathophysiology,question,,convulsi-ons,1,convulsions,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,110,2015,Pathophysiology,question,,accumulati-on,1,accumulation,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,116,2015,Pathophysiology,question,,soluti-ons,1,solutions,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,1160,2019,Normal Phisiology,answer_1,,glome-rular,1,glomerular,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_1,1212,2021,Normal Phisiology,answer_4,Increased secretion :c me oeroids,,1,,SAFE,SPACE_BEFORE_PUNCTUATION,HIGH,Whitespace found immediately before punctuation.,PENDING,
2,LAYER_1,122,2015,Pathophysiology,answer_1,B 12-deficiency anemia,,1,,SAFE,B12_SPACING,HIGH,Vitamin B12 appears split by OCR spacing.,PENDING,
2,LAYER_2,1235,2017,Microbiology,question,,techni-que,1,technique,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,124,2015,Pathophysiology,question,,whi-ch,1,which,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,1247,2017,Microbiology,question,,excreti-on,1,excretion,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,1247,2017,Microbiology,question,,detecti-ng,1,detecting,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,1253,2017,Microbiology,question,,poisoni-ng,1,poisoning,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,1253,2017,Microbiology,question,,visi-on,1,vision,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_1,1254,2017,Microbiology,question,On examination of a 6-year-old child the doctor noticed grayish film on the child’s tonsils. Microscopy of the smears stained by Neisser method detected there Corynebacterium diphtheriae . What morphologic feature was the most indicati-ve for determining the type of the agent?,,1,,SAFE,SPACE_BEFORE_PUNCTUATION,HIGH,Whitespace found immediately before punctuation.,PENDING,
2,LAYER_2,1254,2017,Microbiology,question,,indicati-ve,1,indicative,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,1256,2017,Microbiology,answer_4,,reacti-ons,1,reactions,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,1258,2017,Microbiology,answer_5,,Co-trimoxazole,1,cotrimoxazole,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,1270,2016,Microbiology,answer_2,,agammaglobuli-naemia,1,agammaglobulinaemia,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,1270,2016,Microbiology,question,,immunoglobuli-ns,1,immunoglobulins,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,1272,2016,Microbiology,question,,mi-nutes,1,minutes,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,1272,2016,Microbiology,question,,basophi-ls,1,basophils,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,1274,2016,Microbiology,question,,investigati-ng,1,investigating,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,1277,2016,Microbiology,question,,cli-nical,1,clinical,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_1,1287,2015,Microbiology,question,"A child is 10 years old. The followi-ng presentations have developed: sharp pain during swallowing, swollen neck, body temperature rise up to 39, 0o C , bright-red finely papular rash all over the body. Pharynx and tonsils are sharply hyperemic (""flaming pharynx""), ""crimson tongue"". On the tonsi-ls surface there are isolated greyish necrosis focuses. What disease it might be?",,1,,SAFE,SPACE_BEFORE_PUNCTUATION,HIGH,Whitespace found immediately before punctuation.,PENDING,
2,LAYER_2,1287,2015,Microbiology,question,,followi-ng,1,following,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,1287,2015,Microbiology,question,,tonsi-ls,1,tonsils,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,1292,2015,Microbiology,question,,intersti-tial,1,interstitial,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,1292,2015,Microbiology,question,,inclusi-ons,1,inclusions,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_2,1296,2015,Microbiology,answer_4,,reacti-ons,1,reactions,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_1,1297,2015,Microbiology,question,In winter a 3-year-old child has sharp rise of body temperature up to 40o C . Hemorrhagic rash is observed on the skin and mucosa. Bean-shaped gram-negative microorganisms situated in pairs are detected in the blood. What provisional diagnosis can be made?,,1,,SAFE,SPACE_BEFORE_PUNCTUATION,HIGH,Whitespace found immediately before punctuation.,PENDING,
2,LAYER_1,1298,2015,Microbiology,question,"A 9-year-old boy has acute onset of disease: sore throat, body temperature rise up to 39, 5o C ; on the second day diffuse skin rash was detected all over his skin exept for nasolabial triangle. On examination of oral cavity: crimson tongue, ""flaming pharynx"", necrotic tonsillitis. What diagnosis is the most likely?",,1,,SAFE,SPACE_BEFORE_PUNCTUATION,HIGH,Whitespace found immediately before punctuation.,PENDING,
2,LAYER_1,1306,2014,Microbiology,question,"A 10-year-old child has painful swallowing, neck edema, temperature rise up to 39, 0o C , the whole body is covered with bright- red petechial rash. Back of the throat and tonsils are hyperemic, the tongue is crimson-colored. Tonsillar surface is covered with isolated grayish-colored necrosis nidi. What disease is it?",,1,,SAFE,SPACE_BEFORE_PUNCTUATION,HIGH,Whitespace found immediately before punctuation.,PENDING,
2,LAYER_1,1318,2013,Microbiology,question,"A 50-year-old patient has been administered laevomycetin for the treatment of typhoid fever, but on the next day the patient’s condition worsened, the temperature rose to 39, 60C . The deterioration of the patient’s condition can be explained by:",,1,,SAFE,SPACE_BEFORE_PUNCTUATION,HIGH,Whitespace found immediately before punctuation.,PENDING,
2,LAYER_1,1325,2013,Microbiology,question,"A patient has been admitted to the infectious diseases department for malaise, fever up to 38o C , jaundice. A few months ago, the patient underwent blood transfusion. The doctor suspected viral hepatitis B. What are the principal methods of laboratory diagnosis of hepatitis B?",,1,,SAFE,SPACE_BEFORE_PUNCTUATION,HIGH,Whitespace found immediately before punctuation.,PENDING,
2,LAYER_1,1330,2013,Microbiology,question,"In the surgical ward, the dressing material was undergoing sterilization in an autoclave. Through an oversight of a nurse the mode of sterilization was changed and the temperature in the autoclave reached only 100o C instead of the due 120OC . What microorganisms can stay viable under these conditions?",,1,,SAFE,SPACE_BEFORE_PUNCTUATION,HIGH,Whitespace found immediately before punctuation.,PENDING,
2,LAYER_1,1355,2011,Microbiology,question,"After transfusion of 200 ml of blood a patient presented with body temperature rise up to 37, 9o C . Which of the following substances is the most likely cause of temperature rise?",,1,,SAFE,SPACE_BEFORE_PUNCTUATION,HIGH,Whitespace found immediately before punctuation.,PENDING,
2,LAYER_1,141,2014,Pathophysiology,question,Degenerative changes in posterior and lateral columns of spinal cord (funicular myelosis) caused by methylmalonic acid accumulation occur in patients with B 12-deficiency anemia. This results in synthesis disruption of the following substance:,,1,,SAFE,B12_SPACING,HIGH,Vitamin B12 appears split by OCR spacing.,PENDING,
2,LAYER_2,144,2014,Pathophysiology,answer_3,,Sino-atrial,1,sinoatrial,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
2,LAYER_1,1442,2018,Microbiology,question,What diagnostic method should be used in industry to test the raw leather for presence of B. antracis ?,,1,,SAFE,SPACE_BEFORE_PUNCTUATION,HIGH,Whitespace found immediately before punctuation.,PENDING,
2,LAYER_2,1449,2018,Microbiology,answer_5,,Co-trimoxazole,1,cotrimoxazole,SAFE,BROKEN_WORD_HYPHENATION,HIGH,Removing the hyphen produces a recognized English or medical word.,PENDING,
