token,status,proposed,note
azidothimidine,REVIEW,,Context reviewed; source verification required before normalization.
b-lymphocytcs,REVIEW,,Context reviewed; source verification required before normalization.
b-lymphocytes,REVIEW,,Unrecognized lexical token; verify against source
babinski-frohlich,REVIEW,babinskifrohlich,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
bacillof,REVIEW,,Context reviewed; source verification required before normalization.
bactcrioscopy,REVIEW,,Context reviewed; source verification required before normalization.
barbamylum,REVIEW,,Context reviewed; source verification required before normalization.
basalioma,REVIEW,,Context reviewed; source verification required before normalization.
basketshaped,REVIEW,,Context reviewed; source verification required before normalization.
basocytes,REVIEW,,Context reviewed; source verification required before normalization
basophi-ls,REVIEW,basophils,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
beclometasone,REVIEW,,Context reviewed; source verification required before normalization.
benzohexonium,REVIEW,,Context reviewed; source verification required before normalization.
beresovsky-sternberg,REVIEW,beresovskysternberg,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
beri-beri,REVIEW,beriberi,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
berkitt,REVIEW,,Context reviewed; source verification required before normalization.
berotec,REVIEW,,Context reviewed; source verification required before normalization.
bezredka,REVIEW,,Unrecognized lexical token; verify against source
bi-septol,REVIEW,biseptol,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
bichromatid,REVIEW,,Context reviewed; source verification required before normalization.
bifurcational,REVIEW,,Context reviewed; source verification required before normalization.
bigluconate,REVIEW,,Context reviewed; source verification required before normalization.
bijochinol,REVIEW,,Context reviewed; source verification required before normalization.
biliculture,REVIEW,,Context reviewed; source verification required before normalization.
bilipid,REVIEW,,Context reviewed; source verification required before normalization.
bilrubin,LIKELY_TYPO,bilirubin,Probable spelling error
biogeoceonotic,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
bioigenic,REVIEW,,Context reviewed; source verification required before normalization.
biolectrical,REVIEW,,Context reviewed; source verification required before normalization.
bioptate,REVIEW,,Context reviewed; source verification required before normalization.
biosy,REVIEW,,Context reviewed; source verification required before normalization.
bioterrorist,REVIEW,,Context reviewed; source verification required before normalization.
bioßavonoids,REVIEW,,Context reviewed; source verification required before normalization.
biseptol,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
blastopathy,REVIEW,,Context reviewed; source verification required before normalization.
bloodsample,REVIEW,,Context reviewed; source verification required before normalization.
bluishred,REVIEW,,Context reviewed; source verification required before normalization.
bottlefed,REVIEW,,Context reviewed; source verification required before normalization.
botulinic,REVIEW,,Context reviewed; source verification required before normalization.
branchgo,REVIEW,,Context reviewed; source verification required before normalization.
branchiols,REVIEW,,Context reviewed; source verification required before normalization.
breasts,REVIEW,,Context reviewed; source verification required before normalization.
breviflexors,REVIEW,,Context reviewed; source verification required before normalization.
bromisoval,REVIEW,,Context reviewed; source verification required before normalization.
broncholytics,REVIEW,,Context reviewed; source verification required before normalization.
burnettii,REVIEW,,Context reviewed; source verification required before normalization.
burri,REVIEW,,Context reviewed; source verification required before normalization.
burri-gins,REVIEW,burrigins,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
butadion,REVIEW,,Context reviewed; source verification required before normalization.
butadiounum,REVIEW,,Context reviewed; source verification required before normalization.
butamide,REVIEW,,Context reviewed; source verification required before normalization.
byeffects,REVIEW,,Context reviewed; source verification required before normalization.
c-reactive,REVIEW,,Unrecognized lexical token; verify against source
caicitonin,REVIEW,,Context reviewed; source verification required before normalization.
calci-nosis,REVIEW,calcinosis,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
calori-metry,REVIEW,calorimetry,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
calymmatohacterium,REVIEW,,Context reviewed; source verification required before normalization.
campilobacter,REVIEW,,Context reviewed; source verification required before normalization.
campilobacteria,REVIEW,,Context reviewed; source verification required before normalization.
candidomycosis,REVIEW,,Context reviewed; source verification required before normalization.
carbacholine,REVIEW,,Context reviewed; source verification required before normalization.
carbonlabeled,REVIEW,,Context reviewed; source verification required before normalization.
carboxypcptidase,REVIEW,,Context reviewed; source verification required before normalization.
cardi-ac,REVIEW,,Unrecognized lexical token; verify against source
cardi-opulmonary,REVIEW,cardiopulmonary,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
cardi-otonics,REVIEW,cardiotonics,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
cardinale,REVIEW,,Context reviewed; source verification required before normalization.
cardiomyocyte,VALID,,Valid medical/scientific term in context
cardiospecific,REVIEW,,Context reviewed; source verification required before normalization.
cari-es,REVIEW,caries,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
cartilagenous,REVIEW,,Context reviewed; source verification required before normalization.
catabolim,LIKELY_TYPO,catabolism,High-confidence lexical/OCR correction candidate; verify before applying.
catalyzation,REVIEW,,Context reviewed; source verification required before normalization.
catarral,REVIEW,,Context reviewed; source verification required before normalization.
cene,REVIEW,,Context reviewed; source verification required before normalization.
centrosomc,REVIEW,,Context reviewed; source verification required before normalization.
cerigel,REVIEW,,Context reviewed; source verification required before normalization.
changeswill,REVIEW,,Context reviewed; source verification required before normalization.
characreri-zed,REVIEW,characrerized,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
characteri-zed,REVIEW,characterized,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
characteristiclly,REVIEW,,Context reviewed; source verification required before normalization.
charcterized,REVIEW,,Context reviewed; source verification required before normalization.
chemicalfertilizers,REVIEW,,Context reviewed; source verification required before normalization.
chemotrypsin,LIKELY_TYPO,chymotrypsin,Probable spelling/OCR error
chernogubov,REVIEW,,Context reviewed; source verification required before normalization.
cherryred,REVIEW,,Context reviewed; source verification required before normalization.
chfordiazepoxide,REVIEW,,Context reviewed; source verification required before normalization.
chi-ld,REVIEW,child,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
chingamin,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
chinoxydin,REVIEW,,Context reviewed; source verification required before normalization.
chiorpromazine,REVIEW,,Context reviewed; source verification required before normalization.
chlamidia,REVIEW,,Context reviewed; source verification required before normalization.
chledocholithiasis,REVIEW,,Context reviewed; source verification required before normalization.
chloridinum,REVIEW,,Context reviewed; source verification required before normalization.
chloropyramine,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
choce,REVIEW,,Context reviewed; source verification required before normalization.
cholalemia,REVIEW,,Context reviewed; source verification required before normalization
cholecystokininpancreozymin,REVIEW,,Verify historical or source terminology
cholenzyme,REVIEW,,Context reviewed; source verification required before normalization.
cholesterine,REVIEW,,Context reviewed; source verification required before normalization
cholinoblocker,REVIEW,,Context reviewed; source verification required before normalization.
cholinomimetics,REVIEW,,Context reviewed; source verification required before normalization.
cholinoreceptors,REVIEW,,Context reviewed; source verification required before normalization.
cholosas,REVIEW,,Context reviewed; source verification required before normalization.
chornobyl,REVIEW,,Context reviewed; source verification required before normalization.
cicatricially-changed,REVIEW,cicatriciallychanged,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
cient,REVIEW,,Context reviewed; source verification required before normalization.
ck-mm,REVIEW,,Context reviewed; source verification required before normalization.
clamidiosis,REVIEW,,Context reviewed; source verification required before normalization.
cleanrice,REVIEW,,Context reviewed; source verification required before normalization.
cli-mber,REVIEW,,Unrecognized lexical token; verify against source
cli-nical,REVIEW,clinical,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
clini-cal,REVIEW,clinical,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
cllaboratory,REVIEW,,Context reviewed; source verification required before normalization.
cloctridia,LIKELY_TYPO,clostridia,High-confidence lexical/OCR correction candidate; verify before applying.
cloudytiquidhows,REVIEW,,Context reviewed; source verification required before normalization.
clubcells,REVIEW,,Context reviewed; source verification required before normalization.
clublike,REVIEW,,Context reviewed; source verification required before normalization.
cningamine,REVIEW,,Context reviewed; source verification required before normalization.
cntry,REVIEW,,Context reviewed; source verification required before normalization.
co-contraction,REVIEW,,Context reviewed; source verification required before normalization.
co-infection,REVIEW,,Context reviewed; source verification required before normalization.
co-trimoxazole,REVIEW,,Context reviewed; source verification required before normalization.
coamid,REVIEW,,Context reviewed; source verification required before normalization.
cobolamin,REVIEW,,Context reviewed; source verification required before normalization.
coenzym,REVIEW,,Context reviewed; source verification required before normalization.
colienteritis,REVIEW,,Context reviewed; source verification required before normalization.
collagene,REVIEW,,Context reviewed; source verification required before normalization.
collagenesis,REVIEW,,Context reviewed; source verification required before normalization.
collaptoid,REVIEW,,Context reviewed; source verification required before normalization.
collitis,REVIEW,,Context reviewed; source verification required before normalization.
comatous,VALID,,Valid English medical adjective
commaless,REVIEW,,Context reviewed; source verification required before normalization.
complai-ns,REVIEW,complains,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
componet,REVIEW,,Context reviewed; source verification required before normalization.
compressi-on,REVIEW,compression,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
concomi-tant,REVIEW,concomitant,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
concrements,REVIEW,,Context reviewed; source verification required before normalization.
condi-tion,LIKELY_TYPO,condition,Probable PDF hyphenation artifact
conditionis,REVIEW,,Context reviewed; source verification required before normalization.
congesti-on,REVIEW,congestion,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
conlirm,REVIEW,,Context reviewed; source verification required before normalization.
consti-tution,REVIEW,constitution,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
conten,LIKELY_TYPO,content,Missing final t
contracti-on,REVIEW,contraction,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
contracti-ons,REVIEW,,Unrecognized lexical token; verify against source
contrical,REVIEW,,Context reviewed; source verification required before normalization
contrykal,REVIEW,,Context reviewed; source verification required before normalization.
convariant,REVIEW,,Context reviewed; source verification required before normalization.
convulsi-ons,REVIEW,,Unrecognized lexical token; verify against source
coproculture,REVIEW,,Context reviewed; source verification required before normalization.
coprological,REVIEW,,Unrecognized lexical token; verify against source
cordiamin,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
corglycon,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
corglyconum,REVIEW,,Context reviewed; source verification required before normalization.
coronarodilator,REVIEW,,Context reviewed; source verification required before normalization.
coronarolytics,REVIEW,,Context reviewed; source verification required before normalization.
cortico-nuclearis,REVIEW,corticonuclearis,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
corticoliberin,REVIEW,,Context reviewed; source verification required before normalization.
corticopontinus,REVIEW,,Context reviewed; source verification required before normalization.
corticostatin,REVIEW,,Context reviewed; source verification required before normalization.
corticotropine,REVIEW,,Context reviewed; source verification required before normalization.
cortricospinal,REVIEW,,Context reviewed; source verification required before normalization.
cosynthase,REVIEW,,Context reviewed; source verification required before normalization.
coversion,LIKELY_TYPO,conversion,High-confidence lexical/OCR correction candidate; verify before applying.
coxsacki-virus,REVIEW,coxsackivirus,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
cri-du-chat,REVIEW,,Context reviewed; source verification required before normalization.
cristarum,REVIEW,,Context reviewed; source verification required before normalization.
cropous,REVIEW,,Context reviewed; source verification required before normalization.
crossingover,REVIEW,,Context reviewed; source verification required before normalization.
culteres,REVIEW,,Context reviewed; source verification required before normalization.
curantyl,REVIEW,,Context reviewed; source verification required before normalization.
cxamincs,REVIEW,,Context reviewed; source verification required before normalization.
cyclocerine,REVIEW,,Context reviewed; source verification required before normalization.
cyclodol,REVIEW,,Context reviewed; source verification required before normalization.
cyclodole,REVIEW,,Context reviewed; source verification required before normalization.
cyclometazide,REVIEW,,Context reviewed; source verification required before normalization.
cyclooxigenase,REVIEW,,Context reviewed; source verification required before normalization.
cyclooxygenasc,REVIEW,,Context reviewed; source verification required before normalization.
cyclophosphan,REVIEW,,Context reviewed; source verification required before normalization.
cyli-ndruria,REVIEW,,Unrecognized lexical token; verify against source
cyncytiotrophoblast,REVIEW,,Context reviewed; source verification required before normalization.
cyprofloxacin,REVIEW,,Context reviewed; source verification required before normalization.
cystinase,REVIEW,,Context reviewed; source verification required before normalization.
cystyca,REVIEW,,Context reviewed; source verification required before normalization.
cythemolytic,REVIEW,,Verify terminology against source
cytitonum,REVIEW,,Context reviewed; source verification required before normalization.
cytolemma,REVIEW,,Context reviewed; source verification required before normalization.
cytomedins,REVIEW,,Context reviewed; source verification required before normalization.
cytoplasma,REVIEW,,Context reviewed; source verification required before normalization.
cytorcceptors,REVIEW,,Context reviewed; source verification required before normalization.
cytoreceptors,REVIEW,,Verify terminology against source
d-bridement,REVIEW,,Context reviewed; source verification required before normalization.
dagnini-aschner,REVIEW,dagniniaschner,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
dangerousin,REVIEW,,Context reviewed; source verification required before normalization.
darkred,REVIEW,,Unrecognized lexical token; verify against source
dcscending,REVIEW,,Context reviewed; source verification required before normalization.
ddee,REVIEW,,Context reviewed; source verification required before normalization.
de-nol,REVIEW,denol,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
decarboxylatin,REVIEW,,Context reviewed; source verification required before normalization.
decondense,REVIEW,,Context reviewed; source verification required before normalization.
deelopent,REVIEW,,Context reviewed; source verification required before normalization.
defici-ency,REVIEW,deficiency,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
degenerationof,REVIEW,,Context reviewed; source verification required before normalization.
degeniration,REVIEW,,Context reviewed; source verification required before normalization.
dehelmintization,REVIEW,,Context reviewed; source verification required before normalization.
dehydratati-on,REVIEW,dehydratation,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
dehydratation,REVIEW,,Context reviewed; source verification required before normalization
dehydrofolate,REVIEW,,Context reviewed; source verification required before normalization.
dehydromine,REVIEW,,Context reviewed; source verification required before normalization.
dehydropeptidasc,REVIEW,,Context reviewed; source verification required before normalization.
dehydropholate,REVIEW,,Context reviewed; source verification required before normalization.
dehydrostase,REVIEW,,Context reviewed; source verification required before normalization.
deintoxicative,REVIEW,,Context reviewed; source verification required before normalization.
deiters,REVIEW,,Context reviewed; source verification required before normalization.
delayedtype,REVIEW,,Context reviewed; source verification required before normalization
delects,REVIEW,,Context reviewed; source verification required before normalization.
deli-vered,REVIEW,delivered,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
dentatorubralis,REVIEW,,Context reviewed; source verification required before normalization.
deparment,REVIEW,,Context reviewed; source verification required before normalization.
deposi-ts,REVIEW,deposits,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
dermatovisceral,REVIEW,,Unrecognized lexical token; verify against source
dermopapillary,REVIEW,,Context reviewed; source verification required before normalization.
desamination,REVIEW,,Context reviewed; source verification required before normalization.
descase,REVIEW,,Context reviewed; source verification required before normalization.
descri-bed,REVIEW,described,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
desease,REVIEW,,Context reviewed; source verification required before normalization.
despiralization,REVIEW,,Context reviewed; source verification required before normalization.
detecti-ng,REVIEW,detecting,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
determi-ned,REVIEW,determined,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
detoxicationofharmfulsubstances,REVIEW,,Context reviewed; source verification required before normalization.
develoment,LIKELY_TYPO,development,Probable spelling error
di-abetes,REVIEW,diabetes,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
di-ameter,REVIEW,diameter,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
di-ffuse,LIKELY_TYPO,diffuse,Probable PDF hyphenation artifact
di-sorder,REVIEW,disorder,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
di-srupted,REVIEW,,Unrecognized lexical token; verify against source
di-sturbance,REVIEW,disturbance,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
di-sturbed,LIKELY_TYPO,disturbed,Probable PDF hyphenation artifact
diacarb,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
diagnosticum,REVIEW,,Context reviewed; source verification required before normalization.
diagnosticums,REVIEW,,Context reviewed; source verification required before normalization.
diahetes,REVIEW,,Context reviewed; source verification required before normalization.
diasease,REVIEW,,Context reviewed; source verification required before normalization.
diazolin,REVIEW,,Context reviewed; source verification required before normalization.
dibasolum,REVIEW,,Context reviewed; source verification required before normalization.
dibazole,REVIEW,,Context reviewed; source verification required before normalization.
dicain,REVIEW,,Context reviewed; source verification required before normalization.
dichlothiazide,REVIEW,,Context reviewed; source verification required before normalization.
dichlothiazidum,REVIEW,,Context reviewed; source verification required before normalization.
dichydroxycholecalciferol,REVIEW,,Context reviewed; source verification required before normalization.
didn’t,REVIEW,,Context reviewed; source verification required before normalization
differentsixed,REVIEW,,Context reviewed; source verification required before normalization.
differons,REVIEW,,Context reviewed; source verification required before normalization.
diffrent,REVIEW,,Context reviewed; source verification required before normalization.
digestesion,LIKELY_TYPO,digestion,High-confidence lexical/OCR correction candidate; verify before applying.
digluconate,REVIEW,,Context reviewed; source verification required before normalization.
dimedrol,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
dimercaptopropansulfonate,REVIEW,,Context reviewed; source verification required before normalization.
dimethylsulfoxide,REVIEW,,Context reviewed; source verification required before normalization.
dimexid,REVIEW,,Context reviewed; source verification required before normalization.
dioxotetrahydrooxytetrahydrohaphthaline,REVIEW,,Context reviewed; source verification required before normalization.
dioxotetrahydrooxytetrahydronaphthaline,REVIEW,,Context reviewed; source verification required before normalization.
dioxyphenylalanine,REVIEW,,Context reviewed; source verification required before normalization.
diphcnin,REVIEW,,Context reviewed; source verification required before normalization.
diphenhudramine,REVIEW,,Context reviewed; source verification required before normalization.
diphenine,REVIEW,,Context reviewed; source verification required before normalization.
diphteria,REVIEW,,Context reviewed; source verification required before normalization.
diphylobotrium,REVIEW,,Context reviewed; source verification required before normalization.
dipiridamol,REVIEW,,Context reviewed; source verification required before normalization.
diprazine,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
disapparance,REVIEW,,Context reviewed; source verification required before normalization.
disbacteriosis,REVIEW,,Context reviewed; source verification required before normalization.
disbalance,REVIEW,,Verify source wording
discirculatory,REVIEW,,Context reviewed; source verification required before normalization.
disesase,REVIEW,,Context reviewed; source verification required before normalization.
disi-ntegration,REVIEW,,Unrecognized lexical token; verify against source
disproteinemia,REVIEW,,Context reviewed; source verification required before normalization
disregulation,REVIEW,,Unrecognized lexical token; verify against source
disregulative,REVIEW,,Verify terminology against source
disregulatory,REVIEW,,Verify terminology against source
distantia,REVIEW,,Context reviewed; source verification required before normalization.
distuhiancesln,REVIEW,,Context reviewed; source verification required before normalization.
dithylin,REVIEW,,Context reviewed; source verification required before normalization.
dithyline,REVIEW,,Context reviewed; source verification required before normalization.
dithylinum,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
don’t,REVIEW,,Context reviewed; source verification required before normalization
dorsallis,REVIEW,,Context reviewed; source verification required before normalization.
downsyndrome,REVIEW,,Context reviewed; source verification required before normalization.
doxacycline,REVIEW,,Context reviewed; source verification required before normalization.
dramaic,LIKELY_TYPO,dramatic,Probable spelling error
drasti-cally,REVIEW,drastically,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
drotaverine,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
dubrosii,REVIEW,,Context reviewed; source verification required before normalization.
duri-ng,LIKELY_TYPO,during,Probable PDF/OCR hyphenation artifact
dutlonii,REVIEW,,Context reviewed; source verification required before normalization.
