id,year,subject,field,original,detected,proposed,type,confidence,plan_status,apply,reviewer_note
2581,2014,Biochemistry,topic,"Nucleic acid metabolism. Protein synthesis Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","synthesis Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY",Nucleic acid metabolism. Protein synthesis,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
2588,2014,Biochemistry,topic,"Functional and clinical biochemistry of muscle, nervous and connective tissues Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","tissues Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","Functional and clinical biochemistry of muscle, nervous and connective tissues",KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
554,2015,Pathomorphology,topic,The metabolic disorders and metabolism. The morphology of abnormal accumulation of endogenous and exogenous pigments. The morphology of disorders of mineral metabolism. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,metabolism. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,The metabolic disorders and metabolism. The morphology of abnormal accumulation of endogenous and exogenous pigments. The morphology of disorders of mineral metabolism.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
557,2015,Pathomorphology,topic,Pathomorphology of the immune system. Reactions and mechanisms of hypersensitivity. The autoimmune disease. Immunodeficiency States. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,States. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Pathomorphology of the immune system. Reactions and mechanisms of hypersensitivity. The autoimmune disease. Immunodeficiency States.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
560,2015,Pathomorphology,topic,Leukemias (leukemia) and lymphomas. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,lymphomas. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Leukemias (leukemia) and lymphomas.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
563,2015,Pathomorphology,topic,Tuberculosis MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Tuberculosis MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Tuberculosis,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
566,2015,Pathomorphology,topic,"Violation of hemostasis. Thrombosis, disseminated intravascular coagulation. Embolism. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY",Embolism. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,"Violation of hemostasis. Thrombosis, disseminated intravascular coagulation. Embolism.",KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
569,2015,Pathomorphology,topic,Viral airborne infection. HIV infection. Rabies. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Rabies. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Viral airborne infection. HIV infection. Rabies.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
529,2016,Pathomorphology,topic,Diseases of the respiratory system. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,system. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Diseases of the respiratory system.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
542,2016,Pathomorphology,topic,Infectious and parasitic diseases. Characterization of the infectious process. Intestinal infectious diseases. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,diseases. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Infectious and parasitic diseases. Characterization of the infectious process. Intestinal infectious diseases.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
545,2016,Pathomorphology,topic,Tumors. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Tumors. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Tumors.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
548,2016,Pathomorphology,topic,"Violation of hemostasis. Thrombosis, disseminated intravascular coagulation. Embolism. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY",Embolism. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,"Violation of hemostasis. Thrombosis, disseminated intravascular coagulation. Embolism.",KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
551,2016,Pathomorphology,topic,"Morphology of reversible and irreversible damage of cells and tissues. Extracellular accumulation of proteins, carbohydrates and lipids. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY",lipids. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,"Morphology of reversible and irreversible damage of cells and tissues. Extracellular accumulation of proteins, carbohydrates and lipids.",KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
1562,2016,Anatomy,topic,Central nervous system. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,system. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,Central nervous system.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
2522,2016,Biochemistry,topic,"Nutrition biochemistry and vitamins fundamental Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","fundamental Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY",Nutrition biochemistry and vitamins fundamental,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
2529,2016,Biochemistry,topic,"Characteristics and intracellular lipid metabolism Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","metabolism Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY",Characteristics and intracellular lipid metabolism,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
511,2017,Pathomorphology,topic,For pituitary disease. Diabetes mellitus. Diseases of the thyroid gland. Diseases of the adrenal glands. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,glands. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,For pituitary disease. Diabetes mellitus. Diseases of the thyroid gland. Diseases of the adrenal glands.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
514,2017,Pathomorphology,topic,Tuberculosis MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Tuberculosis MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Tuberculosis,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
526,2017,Pathomorphology,topic,Nomenclature and morphological features of tumors from epithelium. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,epithelium. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Nomenclature and morphological features of tumors from epithelium.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
2497,2017,Biochemistry,topic,"Characteristics of the hemostasis system and immune processes Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","processes Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY",Characteristics of the hemostasis system and immune processes,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
2515,2017,Biochemistry,topic,"Nutrition biochemistry and vitamins fundamental Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","fundamental Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY",Nutrition biochemistry and vitamins fundamental,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
777,2018,Pathomorphology,topic,Systemic connective tissue diseases with auto immunization MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,immunization MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Systemic connective tissue diseases with auto immunization,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
790,2018,Pathomorphology,topic,"Particularly dangerous (convection, quarantine) infections MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY",infections MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,"Particularly dangerous (convection, quarantine) infections",KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
793,2018,Pathomorphology,topic,General concepts of human infectious pathology. Classification of infectious diseases. Intestinal infectious diseases. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,diseases. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,General concepts of human infectious pathology. Classification of infectious diseases. Intestinal infectious diseases.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
796,2018,Pathomorphology,topic,"Inflammation: causes, morphogenesis. Pathomorphology of exudative inflammation MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY",inflammation MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,"Inflammation: causes, morphogenesis. Pathomorphology of exudative inflammation",KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
799,2018,Pathomorphology,topic,Hypo thalamo-pituitary disorders. Pathology of the adrenal glands. Pathology of the thyroid gland. Pathology of the endocrine system of the pancreas. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,pancreas. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Hypo thalamo-pituitary disorders. Pathology of the adrenal glands. Pathology of the thyroid gland. Pathology of the endocrine system of the pancreas.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
1757,2018,Anatomy,topic,The temporal bone MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,bone MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,The temporal bone,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
2791,2018,Biochemistry,topic,"Anabolism of carbohydrates Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","carbohydrates Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY",Anabolism of carbohydrates,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
2798,2018,Biochemistry,topic,"Lipid metabolism and its regulation Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","regulation Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY",Lipid metabolism and its regulation,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
771,2019,Pathomorphology,topic,Respiratory diseases. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,diseases. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Respiratory diseases.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
774,2019,Pathomorphology,topic,Benign and malignant non-epithelial (mesenchymal) tumors. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,tumors. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Benign and malignant non-epithelial (mesenchymal) tumors.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
1775,2019,Anatomy,topic,Heart. Vascular system. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,system. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,Heart. Vascular system.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
2805,2019,Biochemistry,topic,"Cholesterol metabolism. Ketone bodies Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","bodies Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY",Cholesterol metabolism. Ketone bodies,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
2812,2019,Biochemistry,topic,"Mechanism of steroid hormones action Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","action Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY",Mechanism of steroid hormones action,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
